x_bandwidth,y_chain_growth,y_ancestor_height,download_rule
0.01,0.0149,0.0,greedy_extend_chain
0.01,0.0159,0.0,longest_header_chain
0.015848931924611134,0.016900000000000002,0.00030000000000000003,greedy_extend_chain
0.015848931924611134,0.016300000000000002,0.0,longest_header_chain
0.025118864315095794,0.0211,0.0036999999999999997,greedy_extend_chain
0.025118864315095794,0.0182,0.0013000000000000002,longest_header_chain
0.03981071705534971,0.0312,0.020200000000000003,greedy_extend_chain
0.03981071705534971,0.023700000000000002,0.0175,longest_header_chain
0.0630957344480193,0.048,0.045099999999999994,greedy_extend_chain
0.0630957344480193,0.0388,0.036300000000000006,longest_header_chain
0.09999999999999994,0.0804,0.016,greedy_extend_chain
0.09999999999999994,0.07200000000000001,0.07020000000000001,longest_header_chain
0.15848931924611123,0.12179999999999999,0.0512,greedy_extend_chain
0.15848931924611123,0.12279999999999999,0.1217,longest_header_chain
0.25118864315095785,0.17460000000000003,0.0392,greedy_extend_chain
0.25118864315095785,0.1917,0.1905,longest_header_chain
0.3981071705534969,0.2408,0.057699999999999994,greedy_extend_chain
0.3981071705534969,0.28099999999999997,0.2803,longest_header_chain
0.6309573444801926,0.3628,0.3068,greedy_extend_chain
0.6309573444801926,0.38870000000000005,0.388,longest_header_chain
0.999999999999999,0.49939999999999996,0.49879999999999997,greedy_extend_chain
0.999999999999999,0.5009,0.5002,longest_header_chain
1.5848931924611107,0.6196,0.6193,greedy_extend_chain
1.5848931924611107,0.6153000000000001,0.6151,longest_header_chain
2.511886431509577,0.7092,0.7087,greedy_extend_chain
2.511886431509577,0.7171000000000001,0.7169,longest_header_chain
3.9810717055349696,0.7988999999999999,0.7986000000000001,greedy_extend_chain
3.9810717055349696,0.8101,0.8098000000000001,longest_header_chain
6.309573444801923,0.8659000000000001,0.8657999999999999,greedy_extend_chain
6.309573444801923,0.8606999999999999,0.8606,longest_header_chain
9.999999999999979,0.9103999999999999,0.9102,greedy_extend_chain
9.999999999999979,0.9,0.8998999999999999,longest_header_chain
15.84893192461111,0.9327,0.9327,greedy_extend_chain
15.84893192461111,0.9391999999999999,0.9391,longest_header_chain
25.11886431509577,0.9538,0.9538,greedy_extend_chain
25.11886431509577,0.9465999999999999,0.9465,longest_header_chain
39.81071705534965,0.9757,0.9757,greedy_extend_chain
39.81071705534965,0.9742000000000001,0.9742000000000001,longest_header_chain
63.09573444801917,0.9912999999999998,0.9912999999999998,greedy_extend_chain
63.09573444801917,0.9625,0.9625,longest_header_chain
99.99999999999979,0.9794,0.9794,greedy_extend_chain
99.99999999999979,0.9898999999999999,0.9898999999999999,longest_header_chain
158.48931924611108,0.9991999999999999,0.9991999999999999,greedy_extend_chain
158.48931924611108,0.9961,0.9961,longest_header_chain
251.1886431509572,0.9898,0.9898,greedy_extend_chain
251.1886431509572,0.9917,0.9917,longest_header_chain
398.1071705534961,0.9901,0.9901,greedy_extend_chain
398.1071705534961,1.0080999999999998,1.0080999999999998,longest_header_chain
630.9573444801916,0.9917999999999999,0.9917999999999999,greedy_extend_chain
630.9573444801916,0.9964999999999999,0.9964999999999999,longest_header_chain
999.999999999998,0.9945,0.9945,greedy_extend_chain
999.999999999998,1.0065,1.0065,longest_header_chain
1584.8931924611109,1.0002,1.0002,greedy_extend_chain
1584.8931924611109,1.0065,1.0065,longest_header_chain
2511.8864315095716,0.9743,0.9743,greedy_extend_chain
2511.8864315095716,1.0044,1.0044,longest_header_chain
3981.0717055349614,0.9899000000000001,0.9899000000000001,greedy_extend_chain
3981.0717055349614,0.9732,0.9732,longest_header_chain
6309.5734448019175,0.9924000000000002,0.9924000000000002,greedy_extend_chain
6309.5734448019175,1.0053,1.0053,longest_header_chain
9999.999999999958,0.9974999999999999,0.9974999999999999,greedy_extend_chain
9999.999999999958,0.9934999999999998,0.9934999999999998,longest_header_chain
15848.931924611077,1.0087,1.0087,greedy_extend_chain
15848.931924611077,0.9911,0.9911,longest_header_chain
25118.864315095718,0.9865,0.9865,greedy_extend_chain
25118.864315095718,0.998,0.998,longest_header_chain
39810.71705534961,0.9916,0.9916,greedy_extend_chain
39810.71705534961,1.0081,1.0081,longest_header_chain
63095.734448019175,0.9808999999999999,0.9808999999999999,greedy_extend_chain
63095.734448019175,0.9768000000000001,0.9768000000000001,longest_header_chain
99999.99999999959,1.0150000000000001,1.0150000000000001,greedy_extend_chain
99999.99999999959,1.0126,1.0126,longest_header_chain
