x_bandwidth,y_chain_growth,attacker
0.05,0.028862000000000013,no attacker
0.05,0.03854500000000001,active attacker
0.1,0.071522,no attacker
0.1,0.055006999999999986,active attacker
0.15000000000000002,0.11579300000000002,no attacker
0.15000000000000002,0.06450400000000002,active attacker
0.2,0.15557600000000002,no attacker
0.2,0.07217800000000002,active attacker
0.25,0.1916,no attacker
0.25,0.084145,active attacker
0.3,0.22436399999999992,no attacker
0.3,0.099388,active attacker
0.35000000000000003,0.25437,no attacker
0.35000000000000003,0.11671900000000003,active attacker
0.4,0.2821970000000001,no attacker
0.4,0.13448399999999996,active attacker
0.45,0.307587,no attacker
0.45,0.152335,active attacker
0.5,0.331871,no attacker
0.5,0.169833,active attacker
0.55,0.354065,no attacker
0.55,0.18693999999999997,active attacker
0.6000000000000001,0.3749870000000001,no attacker
0.6000000000000001,0.20323200000000002,active attacker
0.6500000000000001,0.3938240000000002,no attacker
0.6500000000000001,0.21949300000000002,active attacker
0.7000000000000001,0.4123629999999999,no attacker
0.7000000000000001,0.23491299999999996,active attacker
0.7500000000000001,0.42902099999999976,no attacker
0.7500000000000001,0.25010099999999996,active attacker
0.8,0.444867,no attacker
0.8,0.2647730000000001,active attacker
0.8500000000000001,0.46047000000000005,no attacker
0.8500000000000001,0.27923500000000007,active attacker
0.9000000000000001,0.474798,no attacker
0.9000000000000001,0.29310200000000003,active attacker
0.9500000000000001,0.4890450000000001,no attacker
0.9500000000000001,0.30621399999999993,active attacker
1.0,0.5015570000000001,no attacker
1.0,0.31951500000000016,active attacker
1.05,0.5135129999999999,no attacker
1.05,0.3320720000000001,active attacker
1.1,0.5257840000000004,no attacker
1.1,0.34448999999999996,active attacker
1.1500000000000001,0.5372049999999998,no attacker
1.1500000000000001,0.3566699999999999,active attacker
1.2000000000000002,0.547776,no attacker
1.2000000000000002,0.36779799999999996,active attacker
1.2500000000000002,0.5568110000000001,no attacker
1.2500000000000002,0.3788249999999998,active attacker
1.3,0.567055,no attacker
1.3,0.38957600000000014,active attacker
1.35,0.5768459999999999,no attacker
1.35,0.39948,active attacker
1.4000000000000001,0.5856720000000001,no attacker
1.4000000000000001,0.40931199999999984,active attacker
1.4500000000000002,0.593185,no attacker
1.4500000000000002,0.41888000000000014,active attacker
1.5000000000000002,0.6022289999999999,no attacker
1.5000000000000002,0.4284760000000001,active attacker
1.55,0.6105030000000001,no attacker
1.55,0.43642800000000015,active attacker
1.6,0.61769,no attacker
1.6,0.44470100000000007,active attacker
1.6500000000000001,0.6244820000000001,no attacker
1.6500000000000001,0.4533169999999999,active attacker
1.7000000000000002,0.6311950000000001,no attacker
1.7000000000000002,0.4609620000000001,active attacker
1.7500000000000002,0.638116,no attacker
1.7500000000000002,0.46840900000000013,active attacker
1.8,0.6448640000000002,no attacker
1.8,0.476018,active attacker
1.85,0.651107,no attacker
1.85,0.4829379999999999,active attacker
1.9000000000000001,0.656765,no attacker
1.9000000000000001,0.489981,active attacker
1.9500000000000002,0.6631509999999998,no attacker
1.9500000000000002,0.49580299999999994,active attacker
2.0,0.6700820000000002,no attacker
2.0,0.5024590000000001,active attacker
